PID,CPU Affinity,MaxRAM,maxFileSize
14394,"[0, 1]",67108864,-1
14394,[0],2048,3000000
""
""
""
timestamp,CPU utilization(%),memory utilization(%),cumulative bytes read(MB),cumulative bytes written(MB)
00:33:58,24.0,13.0,0,11
00:34:01,47.0,13.0,0,12
00:34:05,73.0,13.0,0,13
00:34:08,83.0,13.0,0,14
00:34:11,55.0,14.0,0,15
00:34:14,22.0,14.0,0,16
00:34:17,46.0,14.0,0,16
00:34:20,67.0,14.0,0,16
00:34:23,62.0,14.0,0,17
00:34:26,12.0,14.0,0,19
00:34:29,67.0,14.0,1,20
00:34:32,23.0,13.0,1,20
00:34:35,16.0,13.0,2,21
00:34:38,81.0,13.0,3,21
00:34:41,40.0,13.0,47,22
00:34:44,61.0,12.0,47,22
00:34:47,48.0,13.0,50,23
00:34:50,5.0,13.0,50,23
00:34:53,20.0,12.0,50,23
00:34:56,0.0,12.0,50,23
00:34:59,45.0,13.0,50,23
00:35:02,58.0,12.0,50,24
00:35:05,24.0,13.0,50,24
00:35:08,37.0,13.0,52,24
00:35:11,32.0,13.0,55,24
00:35:14,28.0,13.0,55,26
00:35:17,48.0,13.0,55,26
00:35:20,46.0,13.0,55,28
00:35:23,14.0,13.0,56,29
00:35:26,27.0,13.0,56,29
00:35:29,40.0,13.0,56,29
00:35:32,39.0,13.0,56,30
00:35:35,68.0,13.0,56,31
00:35:38,60.0,13.0,56,32
00:35:41,56.0,13.0,60,34
00:35:44,53.0,13.0,60,37
00:35:47,61.0,13.0,60,40
00:35:50,70.0,13.0,60,43
00:35:53,84.0,13.0,62,45
00:35:56,81.0,13.0,63,47
00:35:59,20.0,13.0,65,48
00:36:02,26.0,13.0,65,48
00:36:05,12.0,13.0,65,48
00:36:08,29.0,13.0,65,48
00:36:11,92.0,13.0,65,48
00:36:14,32.0,13.0,66,50
00:36:17,63.0,13.0,66,50
00:36:20,33.0,13.0,67,52
00:36:23,11.0,13.0,68,52
00:36:26,1.0,13.0,68,52
