PID,CPU Affinity,MaxRAM,maxFileSize,
14394,"[0, 1]",67108864,-1,
14394,[0],2048,3000000,
,,,,
,,,,
,,,,
timestamp,CPU utilization(%),memory utilization(%),cumulative bytes read(MB),cumulative bytes written(MB)
0:33:58,24,13,0,11
0:34:01,47,13,0,12
0:34:05,73,13,0,13
0:34:08,83,13,0,14
0:34:11,55,14,0,15
0:34:14,22,14,0,16
0:34:17,46,14,0,16
0:34:20,67,14,0,16
0:34:23,62,14,0,17
0:34:26,12,14,0,19
0:34:29,67,14,1,20
0:34:32,23,13,1,20
0:34:35,16,13,2,21
0:34:38,81,13,3,21
0:34:41,40,13,47,22
0:34:44,61,12,47,22
0:34:47,48,13,50,23
0:34:50,5,13,50,23
0:34:53,20,12,50,23
0:34:56,0,12,50,23
0:34:59,45,13,50,23
0:35:02,58,12,50,24
0:35:05,24,13,50,24
0:35:08,37,13,52,24
0:35:11,32,13,55,24
0:35:14,28,13,55,26
0:35:17,48,13,55,26
0:35:20,46,13,55,28
0:35:23,14,13,56,29
0:35:26,27,13,56,29
0:35:29,40,13,56,29
0:35:32,39,13,56,30
0:35:35,68,13,56,31
0:35:38,60,13,56,32
0:35:41,56,13,60,34
0:35:44,53,13,60,37
0:35:47,61,13,60,40
0:35:50,70,13,60,43
0:35:53,84,13,62,45
0:35:56,81,13,63,47
0:35:59,20,13,65,48
0:36:02,26,13,65,48
0:36:05,12,13,65,48
0:36:08,29,13,65,48
0:36:11,92,13,65,48
0:36:14,32,13,66,50
0:36:17,63,13,66,50
0:36:20,33,13,67,52
0:36:23,11,13,68,52
0:36:26,1,13,68,52
,,,,
,,,,
,,,,
,,,,
,,,,
